source,type,prix,surface,prix_m2,nb_pieces,localisation
century21,Appartement,155000.0,20.0,7750.0,1,75013
century21,Appartement,163000.0,77.0,2116.88,1,75011
century21,Appartement,880000.0,55.0,16000.0,3,75015
century21,Appartement,355000.0,50.0,7100.0,2,75009
century21,Appartement,185000.0,23.0,8043.48,1,75019
century21,Appartement,1180000.0,67.0,17611.94,4,75006
century21,Appartement,387000.0,56.0,6910.71,2,75017
century21,Appartement,400000.0,53.0,7547.17,3,75010
century21,Appartement,525000.0,52.0,10096.15,2,75020
century21,Appartement,442000.0,43.0,10279.07,2,75020
century21,Appartement,567000.0,69.0,8217.39,3,75013
century21,Appartement,510000.0,54.0,9444.44,2,75015
century21,Appartement,470000.0,60.0,7833.33,3,75015
century21,Appartement,335000.0,45.0,7444.44,2,75019
century21,Appartement,449500.0,40.0,11237.5,3,75012
century21,Appartement,799500.0,51.0,15676.47,4,75019
century21,Appartement,990000.0,30.0,33000.0,3,75016
century21,Appartement,246500.0,23.0,10717.39,1,75016
century21,Appartement,460000.0,62.0,7419.35,2,75018
century21,Appartement,795000.0,92.0,8641.3,2,75005
century21,Appartement,940000.0,67.0,14029.85,3,75006
century21,Appartement,350000.0,36.0,9722.22,1,75014
century21,Appartement,532000.0,87.0,6114.94,2,75010
century21,Appartement,498750.0,81.0,6157.41,3,75015
century21,Appartement,499000.0,27.0,18481.48,3,75020
century21,Appartement,298000.0,12.0,24833.33,1,75012
century21,Appartement,924000.0,97.0,9525.77,4,75016
century21,Appartement,422000.0,40.0,10550.0,2,75015
century21,Appartement,473000.0,28.0,16892.86,2,75006
century21,Appartement,349000.0,70.0,4985.71,3,75018
century21,Appartement,476000.0,16.0,29750.0,1,75016
century21,Appartement,840000.0,86.0,9767.44,4,75018
century21,Appartement,225000.0,21.0,10714.29,1,75018
century21,Appartement,498000.0,56.0,8892.86,2,75010
century21,Appartement,445000.0,41.0,10853.66,1,75011
century21,Appartement,370000.0,37.0,10000.0,2,75001
century21,Appartement,430500.0,48.0,8968.75,4,75013
century21,Appartement,316000.0,29.0,10896.55,1,75012
century21,Appartement,699000.0,71.0,9845.07,5,75012
century21,Appartement,545000.0,26.0,20961.54,3,75010
century21,Appartement,795000.0,75.0,10600.0,3,75016
century21,Appartement,365000.0,38.0,9605.26,2,75017
century21,Appartement,283500.0,30.0,9450.0,1,75016
century21,Appartement,400000.0,40.0,10000.0,2,75010
century21,Appartement,154000.0,39.0,3948.72,1,75018
century21,Appartement,955000.0,68.0,14044.12,3,75014
century21,Appartement,110000.0,40.0,2750.0,1,75010
century21,Appartement,280000.0,78.0,3589.74,2,75010
century21,Appartement,319000.0,50.0,6380.0,2,75012
century21,Appartement,420000.0,81.0,5185.19,4,75019
century21,Appartement,898000.0,89.0,10089.89,2,75016
century21,Appartement,205000.0,68.0,3014.71,1,75019
century21,Appartement,318000.0,21.0,15142.86,2,75015
century21,Appartement,309000.0,91.0,3395.6,3,75012
century21,Appartement,222500.0,26.0,8557.69,1,75016
century21,Appartement,562000.0,63.0,8920.63,3,75016
century21,Appartement,250000.0,28.0,8928.57,2,75016
century21,Appartement,8900000.0,425.0,20941.18,7,75016
century21,Appartement,499000.0,63.0,7920.63,3,75019
century21,Appartement,251000.0,26.0,9653.85,1,75018
century21,Appartement,135000.0,25.0,5400.0,1,75019
century21,Appartement,390000.0,51.0,7647.06,3,75020
century21,Appartement,485000.0,50.0,9700.0,3,75018
century21,Maison,89900.0,30.0,2996.67,1,75011
century21,Appartement,615000.0,63.0,9761.9,3,75020
century21,Appartement,525000.0,67.0,7835.82,3,75015
century21,Appartement,1100000.0,97.0,11340.21,4,75015
century21,Appartement,210000.0,15.0,14000.0,1,75015
century21,Appartement,355000.0,57.0,6228.07,2,75017
century21,Appartement,145000.0,44.0,3295.45,1,75010
century21,Appartement,625000.0,20.0,31250.0,2,75012
century21,Appartement,255000.0,31.0,8225.81,1,75015
century21,Maison,1899500.0,196.0,9691.33,9,75020
century21,Appartement,408000.0,42.0,9714.29,2,75019
century21,Appartement,1590000.0,150.0,10600.0,7,75017
century21,Appartement,648500.0,38.0,17065.79,1,75006
century21,Appartement,425000.0,98.0,4336.73,4,75012
century21,Appartement,120000.0,33.0,3636.36,1,75017
century21,Appartement,1080000.0,102.0,10588.24,3,75018
century21,Appartement,300000.0,28.0,10714.29,2,75014
century21,Appartement,306000.0,40.0,7650.0,1,75018
century21,Appartement,1350000.0,49.0,27551.02,5,75011
century21,Appartement,550000.0,58.0,9482.76,3,75010
century21,Appartement,246000.0,23.0,10695.65,2,75011
century21,Appartement,399000.0,19.0,21000.0,1,75006
century21,Appartement,399000.0,19.0,21000.0,1,75006
century21,Appartement,530000.0,60.0,8833.33,3,75015
century21,Appartement,215000.0,23.0,9347.83,1,75018
century21,Appartement,460000.0,78.0,5897.44,3,75018
century21,Appartement,1797000.0,144.0,12479.17,7,75010
century21,Appartement,272000.0,42.0,6476.19,1,75016
century21,Appartement,1130000.0,136.0,8308.82,5,75010
century21,Appartement,955000.0,60.0,15916.67,4,75014
century21,Appartement,138000.0,9.0,15333.33,1,75019
century21,Appartement,531000.0,52.0,10211.54,2,75012
century21,Appartement,680000.0,68.0,10000.0,2,75014
century21,Appartement,650000.0,60.0,10833.33,4,75014
century21,Appartement,520000.0,56.0,9285.71,3,75014
century21,Appartement,435000.0,47.0,9255.32,2,75020
century21,Appartement,520000.0,50.0,10400.0,3,75011
century21,Appartement,580000.0,80.0,7250.0,4,75020
century21,Appartement,540000.0,42.0,12857.14,2,75002
century21,Appartement,220000.0,27.0,8148.15,1,75020
century21,Appartement,997000.0,47.0,21212.77,3,75006
century21,Appartement,175000.0,41.0,4268.29,1,75017
century21,Appartement,409000.0,74.0,5527.03,3,75015
century21,Appartement,420000.0,70.0,6000.0,1,75006
century21,Appartement,439000.0,119.0,3689.08,4,75019
century21,Appartement,350000.0,54.0,6481.48,2,75015
century21,Appartement,300000.0,69.0,4347.83,1,75005
century21,Appartement,774500.0,24.0,32270.83,3,75011
century21,Appartement,199500.0,33.0,6045.45,1,75017
century21,Appartement,960000.0,87.0,11034.48,4,75011
century21,Appartement,329000.0,20.0,16450.0,2,75015
century21,Appartement,1850000.0,165.0,11212.12,8,75014
